;;
;==  RUN; TIME;;;;;;;;;;;==  READ; TIME;;;;;;;;;;;== WRITE; TIMES
;      1000;      2000;      3000;      4000;      5000;      6000;      7000;      8000;      9000;     10000; ; ; ;      1000;      2000;      3000;      4000;      5000;      6000;      7000;      8000;      9000;     10000; ; ; ;      1000;      2000;      3000;      4000;      5000;      6000;      7000;      8000;      9000;     10000;
1 thrs;1472201;5390935;11400521;19754579;31450435;43914577;58771163;78690953;97263965;120710220; ; ;    1 thrs;10530;12699;12174;12033;13667;14977;18003;24671;18484;19983; ; ;    1 thrs;461028;697206;982940;1190233;1478233;3257211;2127863;2868112;2510731;2870944;
2 thrs;1278530;4584506;6354676;11279855;16106571;19759280;25244092;33358688;39473477;51405822; ; ;    2 thrs;10644;12580;11347;12380;14481;14832;15959;24669;19134;21105; ; ;    2 thrs;404107;714480;927152;1173525;1479367;1968995;2301174;2306271;10051988;3186980;
3 thrs;4652300;11090658;20606602;30684246;42873074;58830122;73947240;91497099;109573770;129866658; ; ;    3 thrs;10626;13888;12068;13487;13707;14781;15744;24870;26509;29140; ; ;    3 thrs;688143;690125;995401;1211188;1470305;1796535;2615227;2262943;2464855;2738696;
4 thrs;4117219;9231397;15079340;21180791;31267299;39481916;48256562;59033705;69628249;83751524; ; ;    4 thrs;10117;12967;11159;12058;13334;14767;15756;24316;19413;22155; ; ;    4 thrs;417983;778197;941312;1484464;1636535;1758304;2225280;2472218;2579546;3938841;
